"Quantity","LCSC Part Number","Value","Footprint","References"
"5","C28233","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C101,C201,C301,C401,C501"
"1","C45783","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C102"
"1","C123062","6V8","D_SOD-323_HandSoldering","D106"
"37","C5356080","RED","LED_1206_3216Metric_ReverseMount","D101,D102,D103,D104,D105,D201,D202,D203,D204,D205,D206,D207,D208,D301,D302,D303,D304,D305,D306,D307,D308,D401,D402,D403,D404,D405,D406,D407,D408,D501,D502,D503,D504,D505,D506,D507,D508"
"2","C30182781","thread","post_m3x12.5mm","H101,H102"
"1","C11075","FFC","AFC11-S24ICC-00","J102"
"1","C5160782","Front","PinHeader_2x08_P2.54mm_Vertical_SMD","J101"
"32","C25091","220R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R201,R202,R203,R204,R205,R206,R207,R208,R301,R302,R303,R304,R305,R306,R307,R308,R401,R402,R403,R404,R405,R406,R407,R408,R501,R502,R503,R504,R505,R506,R507,R508"
"5","C25900","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R102,R103,R104,R105,R106"
"1","C25792","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R101"
"1","C976366","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.2x11.16mm_P2.54mm","SW101"
"4","C20613246","74HC595","TSSOP-16_4.4x5mm_P0.65mm","U201,U301,U401,U501"
"1","C5441728","GX101","SOT-23-6","U101"
