Designator,Mid X,Mid Y,Layer,Rotation
"C101",-14.500,-5.000,top,0.000
"C102",-11.000,11.000,top,0.000
"C201",18.000,-11.500,top,90.000
"C301",-29.500,-11.500,top,90.000
"C401",-18.000,11.500,top,270.000
"C501",29.500,11.500,top,270.000
"D101",25.737,3.537,top,180.000
"D102",4.000,17.500,top,270.000
"D103",-4.000,17.500,top,270.000
"D104",25.737,-3.462,top,180.000
"D105",0.000,17.500,top,270.000
"D106",22.000,-1.000,top,90.000
"D201",38.000,-17.500,top,90.000
"D202",30.000,-17.500,top,90.000
"D203",22.000,-17.500,top,90.000
"D204",14.000,-17.500,top,90.000
"D205",34.000,-17.500,top,90.000
"D206",26.000,-17.500,top,90.000
"D207",18.000,-17.500,top,90.000
"D208",10.000,-17.500,top,90.000
"D301",-10.000,-17.500,top,90.000
"D302",-18.000,-17.500,top,90.000
"D303",-26.000,-17.500,top,90.000
"D304",-34.000,-17.500,top,90.000
"D305",-14.000,-17.500,top,90.000
"D306",-22.000,-17.500,top,90.000
"D307",-30.000,-17.500,top,90.000
"D308",-38.000,-17.500,top,90.000
"D401",-38.000,17.500,top,270.000
"D402",-30.000,17.500,top,270.000
"D403",-22.000,17.500,top,270.000
"D404",-14.000,17.500,top,270.000
"D405",-34.000,17.500,top,270.000
"D406",-26.000,17.500,top,270.000
"D407",-18.000,17.500,top,270.000
"D408",-10.000,17.500,top,270.000
"D501",10.000,17.500,top,270.000
"D502",18.000,17.500,top,270.000
"D503",26.000,17.500,top,270.000
"D504",34.000,17.500,top,270.000
"D505",14.000,17.500,top,270.000
"D506",22.000,17.500,top,270.000
"D507",30.000,17.500,top,270.000
"D508",38.000,17.500,top,270.000
"H101",15.000,1.000,top,0.000
"H102",-15.000,1.000,top,0.000
"J101",0.000,3.500,top,90.000
"J102",0.000,11.500,top,180.000
"R101",22.500,3.000,top,270.000
"R102",6.000,16.000,top,270.000
"R103",-7.000,16.300,top,90.000
"R104",20.500,3.000,top,270.000
"R105",2.000,15.500,top,90.000
"R106",7.500,16.000,top,90.000
"R201",33.500,-14.500,top,180.000
"R202",28.500,-14.500,top,180.000
"R203",24.000,-15.000,top,90.000
"R204",14.000,-14.530,top,0.000
"R205",31.000,-14.500,top,180.000
"R206",26.000,-14.500,top,180.000
"R207",16.000,-15.000,top,90.000
"R208",11.500,-14.500,top,0.000
"R301",-14.500,-14.500,top,180.000
"R302",-19.500,-14.500,top,180.000
"R303",-24.000,-15.000,top,90.000
"R304",-34.000,-14.530,top,0.000
"R305",-17.000,-14.500,top,180.000
"R306",-22.000,-14.500,top,180.000
"R307",-32.000,-15.000,top,90.000
"R308",-36.500,-14.500,top,0.000
"R401",-33.500,14.500,top,0.000
"R402",-28.500,14.500,top,0.000
"R403",-24.000,15.000,top,270.000
"R404",-14.000,14.530,top,180.000
"R405",-31.000,14.500,top,0.000
"R406",-26.000,14.500,top,0.000
"R407",-16.000,15.000,top,270.000
"R408",-11.500,14.500,top,180.000
"R501",14.500,14.500,top,0.000
"R502",19.500,14.500,top,0.000
"R503",24.000,15.000,top,270.000
"R504",34.000,14.530,top,180.000
"R505",17.000,14.500,top,0.000
"R506",22.000,14.500,top,0.000
"R507",32.000,15.000,top,270.000
"R508",36.500,14.500,top,180.000
"U101",-14.500,-8.000,top,0.000
"U201",23.500,-10.500,top,90.000
"U301",-24.500,-10.500,top,90.000
"U401",-23.500,10.500,top,270.000
"U501",24.500,10.500,top,270.000
